team_name,team_id,start_YM,end_YM,coach_name
鹿島,1,13/1,15/7,トニーニョ　セレーゾ
鹿島,1,15/7,17/5,石井　正忠
鹿島,1,17/5,,大岩　剛
浦和,3,12/1,17/7,ミハイロ　ペトロヴィッチ
浦和,3,17/7,18/4,掘　孝史
浦和,3,18/4,,オズワルド　オリヴェイラ
横浜FM,5,15/1,18/1,エリク　モンバエルツ
横浜FM,5,18/1,,アンジェ　ポステコグルー
清水,7,14/7,15/8,大榎　克己
清水,7,15/8,15/12,田坂　和昭
清水,7,16/1,17/12,小林　伸二
清水,7,18/1,,ヤン　ヨンソン
名古屋,8,14/1,15/12,西野　朗
名古屋,8,16/1,16/8,小倉　隆史
名古屋,8,16/8,16/12,ポスコ　ジュロヴスキー
名古屋,8,17/1,,風間　八宏
G大阪,9,13/1,17/12,長谷川　健太
G大阪,9,18/1,18/7,レヴィー　クルピ
G大阪,9,18/7,,宮本　恒靖
広島,10,12/1,17/7,森保　一
広島,10,17/7,17/12,ヤン　ヨンソン
広島,10,18/1,,城福　浩
柏,11,15/1,15/12,吉田　達磨
柏,11,16/1,16/3,ミルトン　メンデス
柏,11,16/3,18/5,下平　隆宏
柏,11,18/5,18/11,加藤　望
柏,11,18/11,18/12,岩瀬　健
柏,11,19/1,,ネルシーニョ
湘南,12,12/1,,曺　貴裁
磐田,13,14/9,,名波　浩
札幌,14,14/8,15/7,バルバリッチ
札幌,14,15/7,17/12,四方田　修平
札幌,14,18/1,,ペトロヴィッチ
神戸,18,15/1,17/8,ネルシーニョ
神戸,18,17/8,18/9,吉田　孝行
神戸,18,18/10,,フアン　マヌエル　リージョ
C大阪,20,15/1,15/11,パウロ　アウトゥオリ
C大阪,20,15/11,16/12,大熊　清
C大阪,20,17/1,18/12,ユン　ジョンファン
C大阪,20,19/1,,ロティーナ
川崎F,21,12/4,17/1,風間　八宏
川崎F,21,17/1,,鬼木　達
FC東京,22,14/1,15/12,マッシモ　フィッカデンティ
FC東京,22,16/1,16/7,城福　浩
FC東京,22,16/7,17/9,篠田　善之
FC東京,22,17/9,17/12,安間　貴義
FC東京,22,18/1,,長谷川　健太
福岡,23,15/1,18/12,井原　正巳
福岡,23,19/1,,ファビオ　ペッキア
大宮,27,14/8,17/5,渋谷　洋樹
大宮,27,17/5,17/11,伊藤　彰
大宮,27,17/11,18/12,石井　正忠
大宮,27,19/1,,高木　琢也
甲府,28,15/1,15/5,樋口　靖洋
甲府,28,15/5,16/12,佐久間　悟
甲府,28,17/1,18/4,吉田　達磨
甲府,28,18/4,18/12,上野　展裕
甲府,28,19/1,,伊藤　彰
山形,29,14/1,16/12,石崎　信弘
山形,29,17/1,,木山　隆之
大分,31,11/1,15/6,田坂　和昭
大分,31,15/6,15/12,柳田　伸明
大分,31,16/1,,片野坂　知宏
鳥栖,33,15/1,15/12,森下　仁志
鳥栖,33,16/1,,マッシモ　フィッカデンティ
鳥栖,33,18/10,18/12,金　明輝
鳥栖,33,19/1,,ルイス　カレーラス
松本,46,12/1,,反町　康治
長崎,47,13/1,18/12,高木　琢也
長崎,47,19/1,,手倉森　誠
仙台,54,14/1,14/4,グラハム　アーノルド
仙台,54,14/4,,渡邉　晋
新潟,78,13/1,15/12,柳下　正明
新潟,78,16/1,16/9,吉田　達磨
新潟,78,16/9,16/12,片渕　浩一郎
新潟,78,17/1,17/5,三浦　文丈
新潟,78,17/5,17/5,片渕　浩一郎
新潟,78,17/5,17/12,呂比須　ワグナー
新潟,78,18/1,18/8,鈴木　政一
新潟,78,18/8,,片渕　浩一郎