id,team,No,name,time_played,position,birthdate,height,weight,salary,nth_year,is_youth,nationality,j1_total_num_played,j1_total_scores,j2_total_num_played,j2_total_scores,j3_total_num_played,j3_total_scores,na_total_num_played,na_total_scores,prev3_team,prev2_team,prev1_team,prev3_div,prev2_div,prev1_div,prev3_num_played,prev2_num_played,prev1_num_played,prev3_scores,prev2_scores,prev1_scores,prev3_time_played,prev2_time_played,prev1_time_played
2,C大阪,2.0,松田　陸,2524.0,DF,1991-07-24,171.0,69.0,2000,3.0,,,47.0,3.0,42.0,2.0,,,,,FC東京,C大阪,C大阪,1,2,1,9,42,31,0,2,2,473,3733,2662
5,C大阪,5.0,田中　裕介,279.0,DF,1986-04-14,181.0,77.0,2700,4.0,,,223.0,10.0,42.0,1.0,,,,,C大阪,C大阪,C大阪,2,2,1,9,33,18,1,0,0,664,2725,492
6,C大阪,6.0,山口　蛍,2970.0,MF,1990-10-06,173.0,72.0,6700,10.0,1.0,,134.0,12.0,58.0,2.0,,,38.0,2.0,C大阪・GER,C大阪,C大阪,2,2,1,35,19,32,1,1,2,3150,1800,2880
7,C大阪,7.0,水沼　宏太,1671.0,MF,1990-02-22,176.0,72.0,3000,2.0,,,194.0,24.0,50.0,7.0,9.0,3.0,,,鳥栖,FC東京,C大阪,1,1,1,32,17,24,7,1,3,2353,570,1901
8,C大阪,8.0,柿谷　曜一朗,1424.0,FW,1990-01-03,177.0,68.0,7200,10.0,1.0,,113.0,39.0,168.0,23.0,,,18.0,5.0,SUI,C大阪,C大阪,9,2,1,4,20,34,1,5,6,-,1635,2918
9,C大阪,9.0,杉本　健勇,2448.0,FW,1992-11-18,187.0,79.0,4000,8.0,1.0,,147.0,39.0,59.0,19.0,,,5.0,1.0,川崎F,C大阪,C大阪,1,2,1,24,41,34,6,14,22,1041,3487,2999
10,C大阪,10.0,清武　弘嗣,1369.0,MF,1989-11-12,172.0,66.0,11000,5.0,,,115.0,23.0,,,,,43.0,5.0,GER,SPA,C大阪,9,9,1,21,4,18,5,1,6,-,-,1289
11,C大阪,11.0,ソウザ,1793.0,MF,1988-03-08,183.0,75.0,6500,3.0,,brazil,33.0,4.0,39.0,8.0,,,,,BRA,C大阪,C大阪,9,2,1,27,39,33,3,8,4,-,3341,2825
13,C大阪,13.0,高木　俊幸,1868.0,FW,1991-05-25,170.0,64.0,2000,1.0,,,167.0,24.0,30.0,6.0,,,,,浦和,浦和,浦和,1,1,1,21,14,12,2,2,0,881,829,591
14,C大阪,14.0,丸橋　祐介,2957.0,DF,1990-09-02,178.0,73.0,3500,10.0,1.0,,177.0,8.0,79.0,1.0,,,,,C大阪,C大阪,C大阪,2,2,1,39,40,33,0,1,1,3510,3564,2947
15,C大阪,15.0,木本　恭生,1651.0,DF,1993-08-06,183.0,73.0,800,3.0,,,23.0,2.0,1.0,1.0,23.0,1.0,,,福岡,C大阪,C大阪,2,2,1,0,1,23,0,1,2,0,25,1296
18,C大阪,18.0,ヤン　ドンヒョン,849.0,FW,1986-03-28,186.0,80.0,6500,1.0,,korea,,,,,,,,,KOR,KOR,KOR,9,9,9,30,32,36,8,13,19,-,-,-
21,C大阪,21.0,キム　ジンヒョン,3060.0,GK,1987-07-06,192.0,82.0,10000,10.0,,korea,183.0,0.0,113.0,0.0,1.0,0.0,14.0,0.0,C大阪,C大阪,C大阪,2,2,1,24,39,31,0,0,0,2134,3465,2790
22,C大阪,22.0,マテイ　ヨニッチ,2970.0,DF,1991-01-29,187.0,83.0,8200,2.0,,croatia,34.0,6.0,,,,,,,KOR,KOR,C大阪,9,9,1,37,34,34,0,0,6,-,-,3032
23,C大阪,23.0,山下　達也,1395.0,DF,1987-11-07,182.0,73.0,3100,12.0,,,94.0,6.0,134.0,3.0,,,,,C大阪,C大阪,C大阪,2,2,1,42,39,22,2,1,2,3769,3510,1906
24,C大阪,24.0,山村　和也,1319.0,MF,1989-12-02,186.0,80.0,3000,3.0,,,90.0,12.0,34.0,6.0,,,1.0,0.0,鹿島,C大阪,C大阪,1,2,1,13,34,27,0,6,8,611,2542,2200
26,C大阪,26.0,秋山　大地,26.0,MF,1994-07-28,172.0,66.0,750,6.0,1.0,,15.0,0.0,25.0,0.0,15.0,0.0,,,愛媛・C大阪,C大阪,C大阪,2,1,1,23,2,12,0,0,0,1480,62,124
32,C大阪,32.0,田中　亜土夢,228.0,MF,1987-10-04,167.0,68.0,4000,1.0,,,200.0,17.0,,,,,,,FIN,FIN,FIN,9,9,9,31,17,33,8,5,7,-,-,-
61,FC東京,1.0,大久保　択生,270.0,GK,1989-09-18,190.0,92.0,1200,2.0,,,7.0,0.0,136.0,0.0,4.0,0.0,,,長崎,長崎,FC東京,2,2,1,31,42,7,0,0,0,2790,3711,630
62,FC東京,2.0,室屋　成,2693.0,DF,1994-04-05,176.0,70.0,1500,3.0,,,38.0,0.0,,,5.0,0.0,1.0,0.0,FC東京,FC東京,FC東京,1,1,1,0,12,26,0,0,0,0,1080,2291
63,FC東京,3.0,森重　真人,2676.0,DF,1987-05-21,183.0,79.0,8500,9.0,,,283.0,24.0,37.0,6.0,,,41.0,2.0,FC東京,FC東京,FC東京,1,1,1,32,32,17,7,4,1,2834,2865,1484
64,FC東京,4.0,吉本　一謙,0.0,DF,1988-04-24,185.0,83.0,1500,11.0,1.0,,65.0,1.0,46.0,3.0,14.0,0.0,,,FC東京,FC東京,FC東京,1,1,1,19,7,11,0,0,0,1398,378,892
65,FC東京,5.0,丸山　祐市,686.0,DF,1989-06-16,182.0,75.0,4300,6.0,,,88.0,2.0,41.0,2.0,1.0,0.0,2.0,0.0,FC東京,FC東京,FC東京,1,1,1,20,34,31,0,0,2,1454,2925,2746
67,FC東京,6.0,太田　宏介,2082.0,DF,1987-07-23,179.0,78.0,6200,6.0,,,246.0,10.0,32.0,0.0,,,7.0,0.0,FC東京・HOL,HOL,FC東京,1,9,1,30,10,32,3,0,1,2608,-,2731
68,FC東京,7.0,米本　拓司,1285.0,MF,1990-12-03,177.0,71.0,3200,10.0,,,191.0,5.0,1.0,0.0,10.0,0.0,1.0,0.0,FC東京,FC東京,FC東京,1,1,1,31,21,11,1,0,0,2656,1834,559
69,FC東京,8.0,髙萩　洋次郎,2917.0,MF,1986-08-02,183.0,69.0,5600,2.0,,,214.0,23.0,86.0,17.0,,,3.0,0.0,KOR,KOR,FC東京,9,9,1,14,32,30,2,1,1,-,-,2644
70,FC東京,9.0,ディエゴ　オリヴェイラ,2616.0,FW,1990-06-22,179.0,78.0,5300,1.0,,brazil,57.0,17.0,,,,,,,BRA・BRA,柏,柏,9,1,1,46,30,27,8,12,5,-,2482,1331
71,FC東京,10.0,梶山　陽平,0.0,MF,1985-09-24,180.0,73.0,3000,14.0,1.0,,267.0,16.0,34.0,6.0,8.0,0.0,,,FC東京,FC東京,FC東京,1,1,1,18,14,11,0,0,0,1481,954,497
72,FC東京,11.0,永井　謙佑,1625.0,FW,1989-03-05,178.0,71.0,5100,2.0,,,194.0,43.0,5.0,0.0,,,6.0,0.0,名古屋,名古屋,FC東京,1,1,1,31,31,30,10,7,1,2731,2696,1664
74,FC東京,15.0,久保　建英,58.0,MF,2001-06-04,173.0,67.0,480,2.0,1.0,,2.0,0.0,,,24.0,2.0,,,-,FC東京,FC東京,-,1,1,-,0,2,-,0,0,-,0,33
75,FC東京,17.0,富樫　敬真,573.0,FW,1993-08-10,178.0,75.0,1400,1.0,,,38.0,8.0,,,,,,,横浜FM,横浜FM,横浜FM,1,1,1,4,18,16,1,5,2,59,868,563
76,FC東京,18.0,橋本　拳人,2234.0,MF,1993-08-16,183.0,76.0,2000,6.0,1.0,,67.0,10.0,60.0,0.0,5.0,1.0,,,FC東京,FC東京,FC東京,1,1,1,13,28,26,1,4,5,660,1956,2225
78,FC東京,20.0,前田　遼一,510.0,FW,1981-10-09,183.0,78.0,5200,4.0,,,411.0,153.0,37.0,17.0,2.0,0.0,33.0,10.0,FC東京,FC東京,FC東京,1,1,1,30,29,26,9,6,1,2209,2050,1160
80,FC東京,23.0,矢島　輝一,42.0,FW,1995-04-06,187.0,82.0,480,1.0,1.0,,0.0,0.0,,,4.0,1.0,,,-,FC東京,-,-,1,-,-,0,-,-,0,-,-,0,-
82,FC東京,25.0,小川　諒也,1165.0,DF,1996-11-24,183.0,78.0,800,4.0,,,23.0,0.0,,,41.0,1.0,,,FC東京,FC東京,FC東京,1,1,1,0,18,5,0,0,0,0,1614,255
84,FC東京,27.0,田邉　草民,704.0,MF,1990-04-06,175.0,68.0,2000,9.0,,,62.0,5.0,31.0,5.0,3.0,2.0,,,FC東京,FC東京,FC東京,1,1,1,0,24,8,0,1,1,0,1568,365
90,FC東京,33.0,林　彰洋,2790.0,GK,1987-05-07,195.0,93.0,6300,2.0,,,171.0,0.0,,,,,0.0,0.0,鳥栖,鳥栖,FC東京,1,1,1,23,34,27,0,0,0,2070,3060,2430
92,FC東京,38.0,東　慶悟,2847.0,MF,1990-07-20,178.0,72.0,4100,6.0,,,214.0,21.0,29.0,6.0,,,,,FC東京,FC東京,FC東京,1,1,1,25,28,30,4,2,1,1671,2138,2207
93,FC東京,39.0,大森　晃太郎,2388.0,MF,1992-04-28,170.0,70.0,4000,1.0,,,110.0,15.0,16.0,1.0,2.0,0.0,,,G大阪,G大阪,神戸,1,1,1,30,25,26,3,3,4,1640,1377,1704
94,FC東京,40.0,平川　怜,4.0,MF,2000-04-20,177.0,72.0,380,2.0,1.0,,1.0,0.0,,,19.0,1.0,,,-,FC東京,FC東京,-,1,1,-,0,1,-,0,0,-,0,18
95,FC東京,44.0,品田　愛斗,6.0,MF,1999-09-19,180.0,66.0,380,1.0,1.0,,0.0,0.0,,,19.0,0.0,,,-,FC東京,FC東京,-,1,1,-,0,0,-,0,0,-,0,0
96,FC東京,48.0,チャン　ヒョンス,2128.0,DF,1991-09-28,185.0,82.0,7500,4.0,,korea,51.0,6.0,,,,,45.0,3.0,CHN,CHN,CHN・FC東京,9,9,1,16,24,11,1,1,2,-,-,990
116,G大阪,1.0,東口　順昭,2491.0,GK,1986-05-12,184.0,78.0,7000,5.0,,,219.0,0.0,,,,,4.0,0.0,G大阪,G大阪,G大阪,1,1,1,34,34,33,0,0,0,3029,3060,2970
117,G大阪,2.0,西野　貴治,0.0,DF,1993-09-14,187.0,73.0,900,7.0,1.0,,18.0,1.0,34.0,4.0,24.0,1.0,,,G大阪,G大阪,千葉・G大阪,1,1,2,3,3,5,0,0,1,264,95,398
120,G大阪,3.0,ファビオ,2708.0,DF,1989-02-28,186.0,78.0,3600,2.0,,brazil,103.0,9.0,,,,,,,横浜FM,横浜FM,G大阪,1,1,1,33,23,22,4,3,1,2895,1995,1906
123,G大阪,4.0,藤春　廣輝,2011.0,DF,1988-11-28,175.0,60.0,4000,8.0,,,164.0,6.0,42.0,4.0,,,3.0,0.0,G大阪,G大阪,G大阪,1,1,1,32,29,33,0,2,2,2800,2486,2900
124,G大阪,5.0,三浦　弦太,3060.0,DF,1995-03-01,183.0,77.0,2600,2.0,,,50.0,2.0,29.0,0.0,11.0,1.0,2.0,0.0,清水,清水,G大阪,1,2,1,7,29,34,0,0,2,603,2478,3060
125,G大阪,6.0,初瀬　亮,732.0,DF,1997-07-10,180.0,70.0,1000,3.0,1.0,,24.0,0.0,,,15.0,0.0,,,G大阪,G大阪,G大阪,1,1,1,0,5,19,0,0,0,0,287,1132
126,G大阪,7.0,遠藤　保仁,2919.0,MF,1980-01-28,178.0,75.0,14500,18.0,,,568.0,101.0,33.0,5.0,,,152.0,15.0,G大阪,G大阪,G大阪,1,1,1,34,34,31,5,2,1,3031,2872,2283
132,G大阪,9.0,アデミウソン,1184.0,FW,1994-01-09,176.0,74.0,8500,3.0,,brazil,84.0,21.0,,,,,,,横浜FM,G大阪,G大阪,1,1,1,33,29,22,8,9,4,2820,1942,1360
133,G大阪,10.0,倉田　秋,2522.0,MF,1988-11-26,172.0,68.0,5200,10.0,1.0,,214.0,38.0,57.0,16.0,,,9.0,2.0,G大阪,G大阪,G大阪,1,1,1,31,34,33,5,2,8,2193,2201,2921
134,G大阪,11.0,ファン　ウィジョ,2097.0,FW,1992-08-28,184.0,73.0,7500,2.0,,korea,13.0,3.0,,,,,10.0,1.0,KOR,KOR,KOR・G大阪,9,9,1,37,17,13,15,9,3,-,-,857
135,G大阪,13.0,菅沼　駿哉,843.0,DF,1990-05-17,182.0,78.0,2200,4.0,1.0,,37.0,2.0,147.0,2.0,,,,,京都,京都,山形,2,2,2,34,39,40,1,1,0,3060,3501,3577
136,G大阪,14.0,米倉　恒貴,1504.0,DF,1988-05-17,176.0,71.0,2600,5.0,,,113.0,4.0,109.0,20.0,,,2.0,0.0,G大阪,G大阪,G大阪,1,1,1,31,21,13,2,1,0,2454,1694,255
137,G大阪,15.0,今野　泰幸,1118.0,MF,1983-01-25,178.0,73.0,11000,7.0,,,414.0,45.0,91.0,7.0,,,93.0,4.0,G大阪,G大阪,G大阪,1,1,1,31,33,24,3,4,2,2615,2721,2010
138,G大阪,16.0,野田　裕喜,0.0,DF,1997-07-27,181.0,73.0,480,3.0,,,0.0,0.0,5.0,0.0,32.0,3.0,,,熊本,G大阪,G大阪,2,1,1,4,0,0,0,0,0,294,0,0
139,G大阪,17.0,市丸　瑞希,301.0,MF,1997-05-08,174.0,66.0,420,3.0,1.0,,1.0,0.0,,,21.0,0.0,,,G大阪,G大阪,G大阪,1,1,1,0,0,1,0,0,0,0,0,76
142,G大阪,20.0,長沢　駿,847.0,FW,1988-08-25,192.0,82.0,3500,4.0,,,90.0,26.0,79.0,12.0,1.0,0.0,,,清水・G大阪,G大阪,G大阪,1,1,1,18,21,34,3,9,10,929,1152,2424
143,G大阪,21.0,矢島　慎也,75.0,MF,1994-01-18,171.0,67.0,2600,1.0,,,23.0,2.0,72.0,13.0,3.0,1.0,,,岡山,岡山,浦和,2,2,1,37,35,11,8,5,1,2709,3101,591
144,G大阪,22.0,オ　ジェソク,1871.0,DF,1990-01-04,178.0,74.0,3200,6.0,,korea,81.0,0.0,5.0,0.0,2.0,0.0,3.0,0.0,G大阪,G大阪,G大阪,1,1,1,10,18,29,0,0,0,645,1522,2213
146,G大阪,24.0,井出　遥也,226.0,MF,1994-03-25,171.0,66.0,1500,2.0,,,2.0,0.0,99.0,15.0,1.0,0.0,,,千葉,千葉,G大阪,2,2,1,31,35,2,6,5,0,1863,2227,69
147,G大阪,25.0,藤本　淳吾,1157.0,MF,1984-03-24,173.0,69.0,4000,3.0,,,305.0,52.0,,,4.0,2.0,13.0,1.0,横浜FM,G大阪,G大阪,1,1,1,19,13,14,3,0,1,1256,408,804
152,G大阪,31.0,鈴木　椋大,0.0,GK,1994-02-10,192.0,89.0,600,2.0,,,0.0,0.0,24.0,0.0,3.0,0.0,,,横浜FM,東京V,G大阪,1,2,1,0,24,0,0,0,0,0,2115,0
160,G大阪,39.0,泉澤　仁,109.0,MF,1991-12-17,165.0,63.0,2300,2.0,,,67.0,5.0,41.0,7.0,,,,,大宮,大宮,G大阪,2,1,1,41,30,21,7,3,2,3004,2022,746
169,浦和,1.0,西川　周作,3060.0,GK,1986-06-18,183.0,81.0,10000,5.0,,,389.0,0.0,,,,,31.0,0.0,浦和,浦和,浦和,1,1,1,34,34,34,0,0,0,3060,3060,3060
171,浦和,2.0,マウリシオ,2630.0,DF,1992-02-06,183.0,82.0,4500,2.0,,brazil,9.0,1.0,,,,,,,POR・POR,POR,浦和,9,9,1,29,28,9,1,3,1,-,-,810
172,浦和,3.0,宇賀神　友弥,2340.0,MF,1988-03-23,172.0,71.0,4400,9.0,1.0,,205.0,12.0,,,,,0.0,0.0,浦和,浦和,浦和,1,1,1,31,26,22,1,3,0,2654,2103,1664
173,浦和,5.0,槙野　智章,2880.0,DF,1987-05-11,182.0,77.0,9500,7.0,,,278.0,37.0,41.0,7.0,,,28.0,3.0,浦和,浦和,浦和,1,1,1,33,29,32,3,3,2,2970,2542,2732
174,浦和,6.0,遠藤　航,1440.0,DF,1993-02-09,178.0,75.0,3800,3.0,,,111.0,11.0,104.0,15.0,,,11.0,0.0,浦和,浦和,浦和,1,1,1,31,27,30,4,0,3,2745,2304,2690
175,浦和,7.0,武富　孝介,302.0,MF,1990-09-23,173.0,69.0,2900,1.0,,,101.0,17.0,110.0,25.0,,,,,柏,柏,柏,1,1,1,28,26,26,2,3,9,2019,1804,1522
176,浦和,9.0,武藤　雄樹,2721.0,FW,1988-11-07,170.0,68.0,5000,4.0,,,167.0,37.0,,,,,2.0,2.0,浦和,浦和,浦和,1,1,1,32,34,31,13,12,6,2588,2628,2276
177,浦和,10.0,柏木　陽介,2504.0,MF,1987-12-15,176.0,73.0,10000,9.0,,,336.0,55.0,31.0,4.0,,,11.0,0.0,浦和,浦和,浦和,1,1,1,33,33,27,5,5,5,2834,2712,2136
178,浦和,11.0,マルティノス,446.0,MF,1991-03-07,183.0,70.0,7000,1.0,,curacao,53.0,9.0,,,,,6.0,1.0,ROU,横浜FM,横浜FM,9,1,1,21,24,29,4,4,5,-,1691,2375
181,浦和,14.0,平川　忠亮,115.0,DF,1979-05-01,172.0,72.0,2300,17.0,,,333.0,9.0,,,,,,,浦和,浦和,浦和,1,1,1,8,0,3,0,0,0,312,0,180
182,浦和,15.0,長澤　和輝,1876.0,MF,1991-12-16,172.0,68.0,2000,2.0,,,8.0,1.0,41.0,4.0,,,1.0,0.0,GER,千葉,浦和,9,2,1,1,41,8,0,4,1,-,3281,445
183,浦和,16.0,青木　拓矢,2304.0,MF,1989-09-16,179.0,77.0,2900,5.0,,,215.0,12.0,,,,,,,浦和,浦和,浦和,1,1,1,22,24,21,1,0,0,517,565,1244
185,浦和,18.0,山田　直輝,74.0,MF,1990-07-04,168.0,64.0,2500,7.0,1.0,,78.0,5.0,39.0,5.0,,,2.0,0.0,湘南,湘南,湘南,1,1,2,17,11,39,1,2,5,599,570,3030
187,浦和,20.0,李　忠成,366.0,FW,1985-12-19,182.0,77.0,5400,5.0,,,271.0,67.0,31.0,8.0,,,11.0,2.0,浦和,浦和,浦和,1,1,1,24,32,21,2,10,3,792,2137,701
188,浦和,21.0,ズラタン,66.0,FW,1983-12-15,186.0,80.0,8000,4.0,,slovenia,147.0,31.0,,,,,48.0,6.0,浦和,浦和,浦和,1,1,1,29,26,21,8,4,2,1296,799,624
189,浦和,22.0,阿部　勇樹,1353.0,MF,1981-09-06,178.0,77.0,12000,11.0,,,536.0,71.0,,,,,53.0,3.0,浦和,浦和,浦和,1,1,1,34,34,33,3,1,3,3060,3060,2950
191,浦和,25.0,榎本　哲也,0.0,GK,1983-05-02,180.0,76.0,2000,2.0,,,238.0,0.0,,,,,,,横浜FM,横浜FM,浦和,1,1,1,9,23,0,0,0,0,810,2025,0
193,浦和,27.0,橋岡　大樹,2114.0,DF,1999-05-17,182.0,73.0,380,1.0,1.0,,0.0,0.0,,,,,,,-,-,浦和,-,-,1,-,-,0,-,-,0,-,-,0
194,浦和,28.0,福島　春樹,0.0,GK,1993-04-08,183.0,78.0,480,3.0,,,0.0,0.0,,,14.0,0.0,,,浦和,浦和・鳥取,浦和,1,3,1,0,14,0,0,0,0,0,1246,0
195,浦和,29.0,柴戸　海,196.0,MF,1995-11-24,180.0,70.0,480,1.0,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
196,浦和,30.0,興梠　慎三,2817.0,FW,1986-07-31,175.0,72.0,9200,6.0,,,345.0,120.0,,,,,16.0,0.0,浦和,浦和,浦和,1,1,1,26,30,33,12,14,20,2003,2264,2872
197,浦和,31.0,岩波　拓也,1827.0,DF,1994-06-18,186.0,72.0,4200,1.0,,,106.0,4.0,37.0,2.0,1.0,0.0,,,神戸,神戸,神戸,1,1,1,30,21,29,1,1,1,2661,1890,2586
198,浦和,38.0,菊池　大介,444.0,MF,1991-04-12,172.0,68.0,2300,2.0,,,104.0,8.0,162.0,24.0,,,,,湘南,湘南,浦和,1,1,1,34,32,8,3,3,0,2939,2763,486
200,浦和,46.0,森脇　良太,371.0,DF,1986-04-06,177.0,75.0,6300,6.0,,,275.0,17.0,100.0,9.0,,,3.0,0.0,浦和,浦和,浦和,1,1,1,30,33,26,2,1,0,2610,2910,2140
208,横浜FM,2.0,ミロシュ　デゲネク,1080.0,DF,1994-04-28,187.0,82.0,3800,2.0,,australia・croatia,25.0,0.0,,,,,15.0,0.0,GER,GER,横浜FM,9,9,1,25,7,25,1,0,0,-,-,2193
210,横浜FM,4.0,栗原　勇蔵,270.0,DF,1983-09-18,184.0,80.0,2500,17.0,1.0,,313.0,16.0,,,,,20.0,3.0,横浜FM,横浜FM,横浜FM,1,1,1,11,12,8,0,1,0,585,649,238
211,横浜FM,5.0,喜田　拓也,1282.0,MF,1994-08-23,170.0,64.0,2200,6.0,1.0,,76.0,1.0,,,10.0,1.0,,,横浜FM,横浜FM,横浜FM,1,1,1,24,27,23,0,1,0,1881,2232,1852
212,横浜FM,6.0,扇原　貴宏,2574.0,MF,1991-10-05,185.0,74.0,3000,2.0,,,130.0,9.0,37.0,2.0,,,1.0,0.0,C大阪,C大阪・名古屋,横浜FM,2,2,1,33,6,26,2,0,1,2844,314,1740
213,横浜FM,7.0,ウーゴ　ヴィエイラ,1981.0,FW,1988-07-25,178.0,73.0,7400,2.0,,portugal,28.0,10.0,,,,,,,SRB,SRB,横浜FM,9,9,1,33,10,28,20,7,10,-,-,1726
214,横浜FM,8.0,中町　公祐,508.0,MF,1985-09-01,174.0,74.0,3600,7.0,,,167.0,14.0,101.0,12.0,,,,,横浜FM,横浜FM,横浜FM,1,1,1,14,31,22,2,6,2,957,2642,1474
215,横浜FM,9.0,大津　祐樹,1525.0,FW,1990-03-24,180.0,73.0,3600,1.0,,,106.0,9.0,9.0,1.0,,,2.0,0.0,柏,柏,柏,1,1,1,14,19,16,1,1,1,471,601,577
216,横浜FM,11.0,遠藤　渓太,1852.0,MF,1997-11-22,175.0,66.0,900,3.0,1.0,,37.0,2.0,,,,,,,-,横浜FM,横浜FM,-,1,1,-,23,14,-,0,2,-,954,467
217,横浜FM,13.0,金井　貢史,518.0,DF,1990-02-05,175.0,70.0,2400,8.0,1.0,,119.0,5.0,35.0,5.0,,,,,千葉,横浜FM,横浜FM,2,1,1,35,17,21,5,0,2,2695,1385,1722
219,横浜FM,14.0,天野　純,2897.0,MF,1991-07-19,175.0,67.0,1600,5.0,1.0,,50.0,5.0,,,,,,,横浜FM,横浜FM,横浜FM,1,1,1,6,11,33,0,0,5,169,708,2939
221,横浜FM,16.0,伊藤　翔,1237.0,FW,1988-07-24,184.0,76.0,3200,5.0,,,157.0,29.0,,,,,,,横浜FM,横浜FM,横浜FM,1,1,1,29,32,15,6,5,2,1635,1311,834
222,横浜FM,19.0,仲川　輝人,1772.0,FW,1992-07-27,161.0,57.0,900,4.0,,,6.0,0.0,30.0,3.0,,,,,横浜FM,横浜FM・町田,横浜FM・福岡,1,2,2,2,16,18,0,3,0,26,1153,1210
224,横浜FM,21.0,飯倉　大樹,3060.0,GK,1986-06-01,181.0,75.0,3300,13.0,1.0,,186.0,0.0,,,,,,,横浜FM,横浜FM,横浜FM,1,1,1,25,12,34,0,0,0,2250,1035,3060
225,横浜FM,22.0,中澤　佑二,1898.0,DF,1978-02-25,187.0,78.0,8700,17.0,,,571.0,35.0,,,,,110.0,17.0,横浜FM,横浜FM,横浜FM,1,1,1,34,34,34,0,3,1,3060,3060,3060
226,横浜FM,23.0,下平　匠,0.0,DF,1988-10-06,175.0,67.0,3500,5.0,,,218.0,6.0,,,,,,,横浜FM,横浜FM,横浜FM,1,1,1,34,15,5,1,1,0,3060,1305,367
227,横浜FM,24.0,山中　亮輔,2747.0,DF,1993-04-20,171.0,65.0,1900,2.0,,,57.0,2.0,23.0,3.0,4.0,0.0,,,柏,柏,横浜FM,1,1,1,11,13,22,0,1,1,318,553,1746
228,横浜FM,25.0,ユン　イルロク,1017.0,MF,1992-03-07,178.0,65.0,4300,1.0,,korea,,,,,,,8.0,1.0,KOR,KOR,KOR,9,9,9,20,26,35,1,6,5,-,-,-
229,横浜FM,26.0,イッペイ　シノヅカ,578.0,MF,1995-03-20,177.0,67.0,600,2.0,,russia,6.0,1.0,,,,,,,RUS,RUS,横浜FM,9,9,1,0,15,6,0,1,1,-,-,166
230,横浜FM,27.0,松原　健,2549.0,DF,1993-02-16,180.0,77.0,2600,2.0,,,82.0,1.0,29.0,0.0,1.0,0.0,0.0,0.0,新潟,新潟,横浜FM,1,1,1,0,17,26,0,0,1,0,1292,1951
232,横浜FM,30.0,鈴木　彩貴,0.0,GK,1987-04-13,184.0,80.0,700,2.0,,,0.0,0.0,37.0,0.0,,,,,北九州,北九州,横浜FM,2,2,1,19,18,0,0,0,0,1695,1620,0
